rssi,rf power
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-30.75,-43.14120594875212
-28.8,-43.12423090628612
-29.0,-42.731454987754674
-29.0,-41.6503288821931
-29.5,-43.09404976363162
-29.4,-41.58425211899661
-29.0,-43.50555080103324
-29.0,-42.575711060431274
-29.25,-36.73159477373474
-29.25,-38.24600379833546
-28.25,-39.899750318189355
-28.25,-40.82141629123121
-28.0,-40.08491310547235
-28.0,-38.142055582671
-29.6,-40.44409851831328
-28.2,-39.27744228915383
-28.2,-39.410695489533516
-28.4,-39.98121004750377
-29.2,-38.194716619715194
-30.0,-38.28922192860425
-29.4,-37.347793475549
-29.6,-40.093342266713606
-28.5,-40.90466510447364
-29.833333333333332,-37.55640824254242
-28.8,-37.65089416098624
-28.8,-40.17352907587461
-29.4,-37.494801758496536
-28.2,-37.67903049401097
-30.2,-42.393461111562
-30.666666666666668,-40.850577090506
-30.166666666666668,-43.29796236146276
-29.4,-42.918457740755635
-29.2,-41.701566732558526
-28.75,-42.49095292208706
-28.75,-40.73863879413222
-30.5,-36.9856729505654
-28.6,-37.73081278277841
-29.8,-42.18099198061308
-29.0,-41.58141944224672
-29.25,-37.11311549532206
-29.25,-37.08088190022133
-28.2,-36.85181808179428
-28.75,-37.368189672053
-29.666666666666668,-39.38792707154628
-28.6,-41.74741214521882
-29.6,-41.684160715105186
-29.2,-41.50436759889172
-28.25,-41.3833079066514
-28.25,-42.96620246244633
-29.75,-42.33552197065451
-28.5,-42.14833167614791
-30.25,-37.337554814800576
-29.0,-38.4272798689788
-29.75,-38.55495614783094
-29.666666666666668,-41.16228191501123
-28.25,-40.47958169791088
-27.8,-37.599307912979775
-28.25,-35.49245952215696
-30.0,-37.22012963404862
-29.0,-38.82700338735793
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
-29.0,-40.97200292717526
