rssi,rf power
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-22.2,-36.18784811225726
-23.0,-36.32296863227497
-21.8,-37.2941341219173
-21.0,-38.90319146922956
-22.2,-39.618378438649124
-22.0,-36.491125689942805
-22.5,-39.555532420312055
-23.8,-36.930932531128356
-23.5,-34.943838356736165
-22.5,-36.492594801435686
-22.6,-37.060381547555416
-22.6,-35.512644673837286
-23.6,-35.90030596623305
-22.6,-37.42659076266136
-19.75,-38.706436932775496
-24.0,-38.97802782309956
-20.2,-38.851832253346764
-22.8,-41.05454489437922
-24.2,-40.81395038692646
-22.2,-40.9622298259229
-20.0,-39.326273386889234
-22.0,-41.3373701756278
-20.4,-41.70931862678838
-21.8,-41.87871200747853
-20.4,-40.688096401305636
-22.4,-41.69869018002442
-22.0,-40.62092167504483
-22.25,-39.86297722137183
-19.2,-40.719389224336176
-24.0,-40.38302730681808
-24.0,-41.085622977684544
-23.2,-39.78763964794698
-22.6,-38.54629080353245
-24.0,-39.865740568669366
-20.4,-38.63804650237388
-22.4,-34.72142808107363
-22.4,-34.26366115271458
-21.8,-38.33671205344575
-21.5,-39.092168320287506
-21.8,-37.857292608861826
-20.4,-35.22022698856502
-23.0,-34.89959726433845
-21.75,-33.06806297445521
-24.4,-34.70501320635348
-22.8,-38.51533685327575
-23.5,-38.9481621343919
-23.0,-34.38668793781296
-23.0,-35.07032527546712
-23.0,-33.98012160138731
-20.4,-33.45598288847294
-19.5,-35.71867169662045
-20.0,-35.91421138660532
-24.0,-36.211633848649186
-22.25,-34.7142238460824
-21.8,-37.817942730484695
-22.2,-37.25438544300666
-22.0,-37.04004408186493
-21.0,-37.97673290772406
-21.0,-40.65170464997671
-22.333333333333332,-39.17763041948976
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
-22.333333333333332,-40.68238366923715
