rssi,rf power
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-30.8,-39.464557427777706
-31.6,-41.02931675320086
-33.4,-43.280028257322726
-34.6,-40.90973833646184
-33.0,-41.41348285928783
-30.4,-41.36957511983821
-32.333333333333336,-43.09141350897907
-33.8,-41.919220570404086
-33.8,-43.328811727403924
-32.0,-38.96623706041422
-34.8,-38.057552309898355
-34.6,-43.293643655342905
-35.0,-39.1569539494638
-30.4,-40.49718306669214
-28.0,-41.418252682820906
-28.2,-38.89840567472045
-36.8,-40.09018428907037
-37.0,-41.8146222428371
-29.25,-40.11958590814818
-31.0,-39.97196315906791
-31.0,-41.64801952631242
-29.2,-43.368103698747106
-30.6,-44.65894992760345
-34.8,-42.489300175369664
-31.4,-41.17712951965728
-32.8,-42.03777739666983
-35.0,-41.99328187375829
-35.0,-44.00661129099426
-33.0,-43.13350016313801
-27.5,-43.16920124879283
-34.5,-42.79497611858369
-37.5,-42.73337788717007
-26.0,-37.547896760621086
-33.55555555555556,-38.1330255413966
-32.6,-40.72239881940793
-32.6,-41.87882107699225
-33.2,-41.51966696800574
-29.2,-43.60387914432895
-32.8,-39.85358616833428
-30.8,-37.96094199773243
-29.0,-38.10938398053266
-28.75,-40.7087501199875
-31.8,-40.97209434068699
-30.8,-37.794846861623235
-35.6,-38.714740655912706
-34.6,-40.0745629411072
-31.5,-37.90640742282197
-32.0,-41.06577115197057
-29.2,-40.81841544938277
-36.4,-41.345584572949825
-36.2,-41.44168343462908
-33.6,-40.232598353280494
-37.75,-42.16427448108175
-37.75,-42.86853293400226
-33.0,-43.35099323597156
-30.0,-39.65274897926277
-33.6,-41.84300385241165
-32.4,-43.799964665407174
-30.2,-43.29231396585966
-28.5,-42.611029785153974
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
-31.2,-40.68368880658965
