rssi,rf power
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-27.6,-41.171156660105716
-25.75,-40.3199245634986
-23.0,-36.00953852867127
-28.25,-35.72416756036973
-28.25,-38.00399624043303
-31.5,-40.179842919684724
-23.0,-38.90868744537421
-34.25,-38.77946973085266
-25.5,-38.85297972903428
-28.666666666666668,-38.87462975342937
-31.8,-38.3402065345796
-27.4,-37.00642758701794
-30.4,-38.202255647954274
-30.333333333333332,-38.978038788854846
-29.0,-36.96503626445301
-28.75,-36.769800564189346
-28.75,-37.97186358482971
-34.0,-38.30056571013057
-26.75,-35.95829219650654
-25.2,-35.92711962275393
-27.8,-36.79770471031222
-32.2,-36.64280898806161
-30.0,-37.52954939608659
-25.75,-39.78602661746415
-33.75,-40.76614861918474
-28.0,-38.90170004721357
-29.4,-37.33349365115663
-29.25,-39.59013999591606
-25.75,-40.585340523873484
-24.0,-40.670835828522534
-27.0,-41.210284756378016
-27.4,-41.235735183368504
-29.8,-40.789834089793416
-28.6,-39.85566754001734
-25.4,-37.261212741249096
-26.0,-39.632142379486474
-29.2,-39.04277925799671
-25.4,-37.989640324485826
-31.4,-35.78384946794796
-32.2,-34.833374984001374
-32.2,-39.85090905957916
-25.2,-40.29184072350298
-27.6,-40.25433302272682
-27.6,-40.14625051406448
-29.25,-40.16520596670791
-28.25,-40.96468444910572
-29.6,-41.116958222178845
-31.8,-41.17191080521396
-29.6,-41.857017569741515
-26.25,-40.72620167657448
-28.166666666666668,-37.53388166863652
-28.0,-39.87807718516528
-27.5,-41.16875154341553
-31.2,-40.53306383434554
-31.2,-37.19875495588612
-27.4,-40.0285704010018
-23.2,-39.581363212845915
-31.2,-39.60381015352469
-28.0,-37.61510096519791
-28.75,-39.82780201435197
-26.25,-39.82780201435197
-26.25,-39.82780201435197
-26.25,-39.82780201435197
-26.25,-39.82780201435197
-26.25,-39.82780201435197
-26.25,-39.82780201435197
-26.25,-39.82780201435197
-26.25,-39.82780201435197
-26.25,-39.82780201435197
-26.25,-39.82780201435197
