rssi,rf power
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-25.5,-40.92447247412786
-26.0,-39.817363190347734
-26.2,-41.34086741238502
-27.0,-42.10126846901317
-26.8,-40.35960171690157
-26.2,-40.94938563920395
-25.8,-39.605235715951615
-27.4,-39.171244474079124
-26.0,-42.34549371307043
-25.75,-42.28066830236679
-25.75,-42.943414458211755
-26.0,-41.06692223764581
-26.5,-42.23628281102444
-26.75,-40.74356962211696
-26.5,-38.96797683518664
-26.6,-41.001261076567786
-26.6,-41.73121389212416
-26.4,-40.90438482329271
-27.6,-41.59650086900858
-25.8,-41.91894524606468
-25.5,-42.1329174549083
-26.25,-40.40914226393252
-26.5,-38.6214103238973
-26.5,-40.67085808521855
-26.5,-40.493441663953476
-25.5,-40.96865495010948
-26.5,-38.71999066009829
-26.0,-37.733777727111445
-26.5,-35.93130779605536
-26.5,-36.626429515052955
-25.75,-39.27282204849505
-26.0,-40.63241825859571
-25.75,-41.899360155077346
-26.5,-38.56497476820857
-26.0,-41.651091821219715
-26.0,-39.797546454210284
-26.25,-39.90091894662503
-26.0,-39.02013703386341
-25.75,-40.34948522985661
-26.5,-40.718894201786206
-26.6,-38.30224874220071
-27.2,-40.84847816259374
-26.0,-41.108593930337285
-26.4,-41.87999334920915
-26.6,-40.667317103460775
-26.6,-40.67644186959961
-25.4,-36.8952011053933
-25.4,-38.035641815573086
-26.4,-38.680462370216404
-26.4,-39.930804610846344
-26.6,-40.31881481347521
-25.75,-38.69880579178653
-26.0,-37.43178909406264
-26.5,-38.19032498366201
-26.2,-39.013319413481135
-26.6,-38.39952701355173
-26.4,-42.08791535293704
-26.8,-40.498237729850615
-26.5,-39.587038897340236
-26.0,-39.56536269503996
-26.0,-39.56536269503996
-26.0,-39.56536269503996
-26.0,-39.56536269503996
-26.0,-39.56536269503996
-26.0,-39.56536269503996
-26.0,-39.56536269503996
-26.0,-39.56536269503996
-26.0,-39.56536269503996
-26.0,-39.56536269503996
