rssi,rf power
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-35.2,-43.27529442592141
-30.6,-42.972223548922074
-37.2,-43.870208688582
-28.25,-41.64370071914292
-28.5,-42.19677832263688
-30.4,-41.256524726288376
-31.4,-42.632018368926204
-30.4,-42.57165507885951
-30.4,-43.54906418134832
-39.75,-44.39014960064139
-38.333333333333336,-43.71703966921487
-37.8,-42.75914330038151
-32.2,-41.7915804115252
-32.6,-37.90348561945902
-33.6,-38.810001172060836
-34.0,-42.27453596492915
-31.4,-40.32557240029213
-34.8,-41.170016955446556
-34.8,-41.22324528438774
-35.0,-41.331988359160775
-37.0,-41.13337764863084
-33.4,-41.02924796383544
-27.8,-40.48078404645279
-32.5,-40.5132741209422
-31.8,-39.93173602129981
-36.2,-40.8325872598101
-36.2,-42.77798364215713
-34.0,-42.29131689188078
-32.2,-41.33509481220851
-34.2,-41.8999337546957
-35.6,-42.99989648956972
-39.4,-38.582819708501425
-32.4,-37.4271395482176
-35.0,-39.46522205089881
-37.0,-41.51193330615163
-34.6,-41.90388196540636
-34.6,-39.28903441210181
-36.6,-41.515173777877834
-31.6,-41.960942215822406
-35.6,-42.37531855952378
-31.0,-43.34766225617236
-33.0,-42.648949093556574
-33.0,-42.16795355989066
-33.2,-43.0208157099301
-32.2,-40.88179722152839
-32.2,-43.90272139064016
-34.2,-43.02472361402724
-32.4,-42.70187381656134
-34.6,-41.98498404412066
-36.0,-42.2900530505807
-36.75,-42.53607312952777
-34.4,-41.15798199495351
-30.4,-40.83737199035001
-32.4,-40.017625080616604
-29.8,-40.15612678783375
-29.8,-40.66077849807139
-32.8,-40.82235835194854
-35.0,-41.95618485517614
-28.6,-41.82266932256022
-35.2,-40.918966768939924
-34.4,-42.12692002275461
-34.4,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
-35.0,-41.94660692577998
