rssi,rf power
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-37.0,-36.59001097819038
-37.6,-37.36658504129356
-38.4,-37.85589208187114
-37.6,-37.91794367691028
-36.8,-39.80464911125994
-36.8,-40.903716692767716
-38.4,-40.21886283020622
-38.75,-40.837005703030144
-34.5,-39.706945119672405
-38.75,-38.46204683441442
-39.8,-40.39176794858031
-37.2,-38.79354518837716
-38.2,-38.55393308363791
-38.2,-37.53392264165261
-36.75,-37.98819164541843
-36.0,-37.94894782311036
-36.75,-38.09394528421878
-39.5,-38.13306319027285
-37.25,-37.68647322649915
-37.5,-37.926218932564225
-37.5,-37.687277804682815
-38.5,-36.41415760542339
-37.25,-36.18715825320462
-37.25,-35.79523585209577
-38.4,-37.32854863868653
-37.8,-37.13007609531015
-37.4,-37.42363081784576
-38.4,-38.323121383563674
-38.0,-41.9084908302461
-37.0,-38.44863143360701
-38.0,-38.367406151689536
-38.0,-37.117290520244595
-37.4,-38.67899126267732
-38.2,-41.74367375273312
-38.4,-40.152443061863295
-38.0,-39.26143554204967
-38.5,-42.81478234817974
-39.0,-40.85054641814279
-38.2,-40.781579388809114
-37.4,-41.891368629020484
-39.5,-41.84912591024409
-38.75,-42.91298322050772
-39.5,-43.38572228777272
-38.5,-43.93260019085731
-39.5,-43.36155874939329
-37.4,-38.566521051687765
-37.5,-38.55787368332603
-37.75,-38.92369098859105
-37.6,-36.83921191675804
-37.6,-38.26099793175496
-37.6,-39.60479082266597
-38.0,-36.216127033658445
-38.6,-37.215195793394756
-37.8,-37.94900976254633
-37.8,-40.294385041112534
-38.75,-40.042169753845414
-38.25,-39.70701569701437
-38.75,-40.50029676221809
-37.5,-39.83356050324929
-39.8,-40.59852470953161
-38.2,-40.59852470953161
-38.2,-40.59852470953161
-38.2,-40.59852470953161
-38.2,-40.59852470953161
-38.2,-40.59852470953161
-38.2,-40.59852470953161
-38.2,-40.59852470953161
-38.2,-40.59852470953161
-38.2,-40.59852470953161
-38.2,-40.59852470953161
-38.2,-40.59852470953161
-38.2,-40.59852470953161
-38.2,-40.59852470953161
