timestamp,rssi,rf power
0.5,,0
1.0,,-34.7229691130637
1.5,,-35.70591971538659
2.0,,-34.45695564380825
2.5,,-35.622472121284446
3.0,,-35.9161891825997
3.5,,-34.2625367816999
4.0,,-35.20642233200264
4.5,,-35.54070596479139
5.0,,-35.50986089803293
5.5,,-36.499464691878686
6.0,,-35.89191897383045
6.5,,-36.68422255073748
7.0,,-36.45262772312369
7.5,,-36.84383150393501
8.0,,-37.311202966942275
8.5,,-37.390467126709176
9.0,,-38.03606163487746
9.5,,-38.90926665710508
10.0,,-38.19724812427249
10.5,,-37.3914741341602
11.0,,-34.43555358862315
11.5,,-36.95641921104334
12.0,,-36.82292329649022
12.5,,-38.70020788039647
13.0,,-38.470919726614845
13.5,,-39.02015220480183
14.0,,-36.63397238775637
14.5,,-35.78826034181056
15.0,,-37.66713426132916
15.5,,-35.944497495450555
16.0,,-34.846852977772045
16.5,,-33.77979845883198
17.0,,-37.83690966078853
17.5,,-36.74687024731137
18.0,,-37.94136117927611
18.5,,-38.310520295014385
19.0,,-37.811321240203604
19.5,,-37.61485226211632
20.0,,-38.36207930747227
20.5,,-37.589904475140465
21.0,,-37.52609615475618
21.5,,-37.69505420784392
22.0,,-36.47832230872107
22.5,,-35.85842487184284
23.0,,-36.231248375862705
23.5,,-36.10992806495684
24.0,,-34.97768597301956
24.5,,-33.282443744615776
25.0,,-33.02102412273038
25.5,,-34.644885911950034
26.0,,-34.19392243278784
26.5,,-35.03320427387198
27.0,,-35.768770919453445
27.5,,-37.370844659587966
28.0,,-38.436311804458185
28.5,,-38.67380447552901
29.0,,-37.19823969619171
29.5,,-38.38208090770954
30.0,,-37.35924081652148
30.5,,-36.43157382696743
31.0,,-36.0656334698594
31.5,,-36.32738274116293
32.0,,-37.22736472498352
32.5,,-36.04963632377101
33.0,,-34.84986638895559
33.5,,-35.472713848400545
34.0,,-35.04765930779518
34.5,,-36.35461712461581
35.0,,-36.40158320564662
35.5,,-36.286481963530534
36.0,,-35.41673773932037
36.5,,-34.59835210557009
37.0,,-35.79276672963966
37.5,,-35.48033645604732
38.0,,-35.439313293236495
38.5,,-34.795407534529964
39.0,,-34.306591525337836
39.5,,-33.247784503012134
40.0,,-33.35542339595923
40.5,,-35.65811419596363
41.0,,-35.800825478826965
41.5,,-35.304832699438705
42.0,,-35.55930432760169
42.5,,-34.01408817455832
43.0,,-34.96050918688994
43.5,,-35.88912910308618
44.0,,-36.63434496511198
44.5,,-36.00163522676213
45.0,,-35.11048611118738
45.5,,-35.59494114862351
46.0,,-34.30532299758859
46.5,,-34.24413524123944
47.0,,-34.823372652865125
47.5,,-34.703086486422706
48.0,,-34.88542639442689
48.5,,-36.08003434115774
49.0,,-35.41486307332676
49.5,,-35.01845595386366
50.0,,-35.11252186815141
50.5,,-35.188191816441055
51.0,,-35.14822328205272
51.5,,-35.937008604434766
52.0,,-34.73091965171414
52.5,,-34.797923436047036
53.0,,-34.43686210975619
53.5,,-34.35773159732604
54.0,,-35.91008422320397
54.5,,-36.02372744743044
55.0,,-36.38427665918017
55.5,,-35.28278525943342
56.0,,-35.86090151581762
56.5,,-35.80382430753104
57.0,,-36.085185727095705
57.5,,-36.01526057027459
58.0,,-37.69621122184055
58.5,,-39.73946518613411
59.0,,-38.3682621898917
59.5,,-37.84564295094619
60.0,,-38.20321723033898
