timestamp,rssi,rf power
0.5,,0
1.0,,-39.4590155008761
1.5,,-41.13659106462188
2.0,,-40.52270144835915
2.5,,-40.278120286603354
3.0,,-39.968698388227494
3.5,,-39.93111056814272
4.0,,-40.69564934187033
4.5,,-40.804986085223035
5.0,,-40.83025840064085
5.5,,-41.07324017386357
6.0,,-40.88105402278231
6.5,,-41.31602169007809
7.0,,-41.5763837041017
7.5,,-41.26566268945537 
8.0,,-41.09178183910606
8.5,,-40.890528150771175
9.0,,-41.183331103609504
9.5,,-39.909269310172114
10.0,,-39.67194895569317
10.5,,-39.38131821859855
11.0,,-39.94744321749639
11.5,,-41.09349242313105
12.0,,-41.77356248834045
12.5,,-40.77927889909358
13.0,,-40.68860128119464
13.5,,-37.99924593443452
14.0,,-40.02543604933224
14.5,,-39.22745158413224
15.0,,-39.50896674139751
15.5,,-39.43137513808361
16.0,,-40.60690187389583
16.5,,-41.197283807864224
17.0,,-40.236240405869694
17.5,,-41.360972046812286
18.0,,-41.16235702283329
18.5,,-40.86585787157284
19.0,,-41.18892416932201
19.5,,-40.27859256935449
20.0,,-41.06660718476584
20.5,,-40.02740423677951
21.0,,-40.14240233427234
21.5,,-40.613115680324306
22.0,,-41.209829387907156
22.5,,-40.17743113143556
23.0,,-40.35441253996313
23.5,,-38.73529242253135
24.0,,-38.610117128112144
24.5,,-38.627359968172314
25.0,,-38.390830998208564
25.5,,-39.81092501385567
26.0,,-40.40491356780158
26.5,,-40.550184298495815
27.0,,-39.496126265919855
27.5,,-38.101822050589256
28.0,,-39.08017052864736
28.5,,-40.05523917137253
29.0,,-37.09867322463407
29.5,,-39.74087461620199
30.0,,-40.84657828393627
30.5,,-41.22080705192907
31.0,,-41.157604821389754
31.5,,-39.88616747077432
32.0,,-40.34899301815531
32.5,,-41.37235324172962
33.0,,-41.306322571356105
33.5,,-41.49079406836754
34.0,,-41.103231692699495
34.5,,-40.74307180592654
35.0,,-40.729272522272574
35.5,,-40.083977431811135
36.0,,-41.27025043195499
36.5,,-41.42782984567571
37.0,,-41.48050899735742
37.5,,-41.7735642354469
38.0,,-38.43963408468281
38.5,,-36.29389720782352
39.0,,-39.63594035139567
39.5,,-39.4002118205097
40.0,,-39.78098172322137
40.5,,-38.89828652974587
41.0,,-38.588615515931394
41.5,,-38.95485369414024
42.0,,-39.18738968302334
42.5,,-39.158765725574064
43.0,,-39.114738014494314
43.5,,-38.705751132269334
44.0,,-38.40227265064988
44.5,,-37.39949989087122
45.0,,-39.141912734400954
45.5,,-39.6740253785022
46.0,,-39.461865464888625
46.5,,-39.4273270530675
47.0,,-38.60496862431623
47.5,,-39.701213806385915
48.0,,-39.251927785612985
48.5,,-39.20985423372595
49.0,,-38.76727988336477
49.5,,-39.352319188565524
50.0,,-38.62164736905963
50.5,,-39.035230808236044
51.0,,-38.138671320018425
51.5,,-38.657647840766366
52.0,,-37.707153944317966
52.5,,-39.1248162723435
53.0,,-39.31813920317988
53.5,,-38.79214303214999
54.0,,-38.760742608517475
54.5,,-39.926562905936535
55.0,,-41.39138908246469
55.5,,-41.21072751266414
56.0,,-39.95854184197538
56.5,,-40.84254346538214
57.0,,-40.22464161537342
57.5,,-40.854837905269115
58.0,,-40.761807023280156
58.5,,-39.52888703222596
59.0,,-41.86496980301168
59.5,,-41.48210330332299
60.0,,-40.93426575511583
