timestamp,rssi,rf power
0.5,,0
1.0,,-32.939255979157615
1.5,,-32.30061141179866
2.0,,-32.124513866682264
2.5,,-33.06109781237677
3.0,,-31.70267315305411
3.5,,-32.05998488799239
4.0,,-31.617592423101055
4.5,,-30.304508513189585
5.0,,-31.37442707205937
5.5,,-31.65580825656317
6.0,,-32.42595555604761
6.5,,-34.607597620735696
7.0,,-34.51351852837595
7.5,,-32.845860516039274
8.0,,-34.49241717244601
8.5,,-34.992184662341394
9.0,,-34.629327236816316
9.5,,-34.32560784686674
10.0,,-35.08116107749752
10.5,,-34.34594516793822
11.0,,-32.805537982068394
11.5,,-34.027836601526396
12.0,,-34.974788794552694
12.5,,-33.12800460917352
13.0,,-32.204402328394856
13.5,,-33.053165738832256
14.0,,-34.01351521994191
14.5,,-34.52951350639964
15.0,,-33.976437490848824
15.5,,-34.382437031452326
16.0,,-34.7578592404449
16.5,,-34.29391687853789
17.0,,-34.34418724550779
17.5,,-34.28315352538326
18.0,,-34.81520442080539
18.5,,-34.74582451352045
19.0,,-34.71503647286829
19.5,,-32.29750781178149
20.0,,-33.22190418262974
20.5,,-33.87780785581405
21.0,,-33.516524159518504
21.5,,-33.60060344836614
22.0,,-34.68132470454566
22.5,,-34.405740182881615
23.0,,-34.77783434379658
23.5,,-34.7554071409971
24.0,,-31.69374192469967
24.5,,-33.05824055811834
25.0,,-33.53337945522695
25.5,,-32.331309829859926
26.0,,-33.673699482524064
26.5,,-33.58060560855777
27.0,,-34.141762622285945
27.5,,-34.100164558103856
28.0,,-34.11739939036812
28.5,,-33.27245310325121
29.0,,-33.86947327497348
29.5,,-33.33561648045875
30.0,,-32.93713524102658
30.5,,-33.318600538354026
31.0,,-33.97857973117392
31.5,,-31.37730236321389
32.0,,-30.952536651415514
32.5,,-32.13236549195636
33.0,,-34.44252889204583
33.5,,-33.81098208511853
34.0,,-33.74926333995394
34.5,,-31.092791175237252
35.0,,-29.968676489711186
35.5,,-30.1108311852936
36.0,,-30.234656113415628
36.5,,-30.479225907699917
37.0,,-30.492274340098614
37.5,,-30.09519994925336
38.0,,-30.983184715368406
38.5,,-30.76718434708578
39.0,,-31.448650059726837
39.5,,-31.37301421547929
40.0,,-31.384976340070306
40.5,,-30.903671614930946
41.0,,-29.53197731277918
41.5,,-30.494888940644323
42.0,,-30.363618416348576
42.5,,-29.663898624546892
43.0,,-29.213324012225524
43.5,,-28.967383207851782
44.0,,-33.16636770352676
44.5,,-33.73572921184976
45.0,,-33.853157315856805
45.5,,-33.473769187126585
46.0,,-34.1325701888291
46.5,,-32.266769522395315
47.0,,-32.888117939017725
47.5,,-33.363347043738116
48.0,,-32.87103804227481
48.5,,-32.74848917092204
49.0,,-32.267798116455914
49.5,,-30.628241245155436
50.0,,-30.987994266530553
50.5,,-30.371312264062166
51.0,,-31.67627774740961
51.5,,-31.685047986686403
52.0,,-31.257286561692478
52.5,,-30.5726777869089
53.0,,-30.974899783262032
53.5,,-32.12042663515051
54.0,,-32.015373226547645
54.5,,-32.35773735741527
55.0,,-32.57268379533589
55.5,,-31.12295096722802
56.0,,-31.019122676552236
56.5,,-33.006676928545
57.0,,-33.55258408688499
57.5,,-32.75321022446201
58.0,,-32.017713390522765
58.5,,-33.04995660451719
59.0,,-32.81557504929403
59.5,,-32.48457386171731
60.0,,-32.65725360317398
