timestamp,rssi,rf power
0.5,,0
1.0,,-36.90106527801999
1.5,,-37.31264453185159
2.0,,-36.305104755705194
2.5,,-33.72844670502463
3.0,,-33.27513537846117
3.5,,-32.27899718778283
4.0,,-32.43404196421185
4.5,,-33.01481914684466
5.0,,-36.41446998440218
5.5,,-37.35316740209227
6.0,,-37.46655705119116
6.5,,-36.99663209583498
7.0,,-36.73889213035252
7.5,,-38.02600726428958
8.0,,-37.90860138428976
8.5,,-33.45009815414924
9.0,,-37.81224687989348
9.5,,-35.81635791839292
10.0,,-37.3122941773113
10.5,,-39.17573859893682
11.0,,-38.528582839199984
11.5,,-37.41058480613277
12.0,,-37.67267160535732
12.5,,-37.70497964557547
13.0,,-39.257057597535905
13.5,,-39.26887088902349
14.0,,-37.2966381227512
14.5,,-37.50168758282333
15.0,,-37.6812325737224
15.5,,-34.31560539784499
16.0,,-32.97664210374599
16.5,,-37.81273588847553
17.0,,-37.9065557426564
17.5,,-37.19063516082011
18.0,,-37.55919490064907
18.5,,-38.771623158162676
19.0,,-38.94622822871019
19.5,,-38.78854528760628
20.0,,-37.257335964962735
20.5,,-37.71444437207694
21.0,,-37.166629217118874
21.5,,-35.4278029053479
22.0,,-35.279851188577965
22.5,,-36.56626979913278
23.0,,-37.81576011418489
23.5,,-36.587588085712646
24.0,,-37.77245581082316
24.5,,-38.03930977676863
25.0,,-35.53374132264394
25.5,,-33.78403459471641
26.0,,-35.99908175822906
26.5,,-34.13551535744168
27.0,,-34.73744155450288
27.5,,-33.3135002824109
28.0,,-31.94742732282762
28.5,,-34.46656401357472
29.0,,-33.31595156400263
29.5,,-34.02206922206061
30.0,,-32.3717586536866
30.5,,-32.147242800516345
31.0,,-32.577137529671255
31.5,,-33.87859299038949
32.0,,-34.22482528305608
32.5,,-35.206147042227485
33.0,,-35.11322595892208
33.5,,-33.18653769886312
34.0,,-34.418078678129696
34.5,,-35.324518002708984
35.0,,-35.218985121892864
35.5,,-36.20446783779202
36.0,,-36.58844511846902
36.5,,-36.80660650572621
37.0,,-36.191706582546814
37.5,,-36.787413684212936
38.0,,-35.838015755292226
38.5,,-36.564063141655446
39.0,,-35.172993890355926
39.5,,-33.299411486424475
40.0,,-34.214432578667896
40.5,,-35.287121756231954
41.0,,-35.815849262302244
41.5,,-36.769992367201155
42.0,,-35.57604090883191
42.5,,-35.615844211200894
43.0,,-36.79822327756243
43.5,,-36.72423327854651
44.0,,-37.154809138732396
44.5,,-36.99913749139981
45.0,,-36.04736507987595
45.5,,-36.42405542973167
46.0,,-35.927487126527375
46.5,,-32.16908323558728
47.0,,-37.268698094009785
47.5,,-37.3113867785847
48.0,,-37.62099878300466
48.5,,-37.407555672498546
49.0,,-37.2985152682315
49.5,,-37.37907347159847
50.0,,-35.47173196125299
50.5,,-36.122986834637615
51.0,,-35.70026400785697
51.5,,-32.54357388524214
52.0,,-34.835130794778834
52.5,,-32.427900792421894
53.0,,-32.2657389682694
53.5,,-34.631155781418464
54.0,,-36.097473532467
54.5,,-34.98980890441372
55.0,,-32.335479874793606
55.5,,-32.153448305735786
56.0,,-31.4330436354532
56.5,,-31.77159971061908
57.0,,-33.28946040745016
57.5,,-33.804270672543915
58.0,,-32.528044057937336
58.5,,-33.033278659945395
59.0,,-33.089508664288935
59.5,,-33.6349194033956
60.0,,-33.5218294812611
