timestamp,rssi,rf power
0.5,,0
1.0,,-37.37921745793978
1.5,,-37.28091490389844
2.0,,-37.366351353320624
2.5,,-37.21997513124198
3.0,,-38.179602771853695
3.5,,-36.79573512539285
4.0,,-35.12382836444679
4.5,,-35.012820943260756
5.0,,-34.96866136391854
5.5,,-36.234730436610995
6.0,,-36.776515024901215
6.5,,-37.88400332842529
7.0,,-38.292230067261336
7.5,,-38.02847355241742
8.0,,-36.88485668145347
8.5,,-34.52155227111086
9.0,,-35.11761006590408
9.5,,-35.11468604463348
10.0,,-35.974448067995326
10.5,,-35.81335671872952
11.0,,-36.215279230040395
11.5,,-35.88825277433839
12.0,,-36.45369160956788
12.5,,-35.68128782658067
13.0,,-35.86982110196163
13.5,,-36.595272511586906
14.0,,-36.419684496621805
14.5,,-35.44690236878873
15.0,,-35.44918332108997
15.5,,-33.804070929716275
16.0,,-34.01228175983648
16.5,,-33.03987913434737
17.0,,-33.32852355525909
17.5,,-33.88029105613781
18.0,,-34.03654682137491
18.5,,-33.44285448339905
19.0,,-33.460300827920776
19.5,,-33.52906931979094
20.0,,-33.923716356686406
20.5,,-34.13152805595488
21.0,,-33.95878483164691
21.5,,-32.468347022264936
22.0,,-32.710214052928166
22.5,,-31.95857202679821
23.0,,-33.00800489656557
23.5,,-33.75894739199343
24.0,,-34.164076411814115
24.5,,-34.07749536040697
25.0,,-34.46421172917464
25.5,,-34.88219364711404
26.0,,-33.59017867365277
26.5,,-33.35745199924504
27.0,,-33.042903210632126
27.5,,-33.262629634069974
28.0,,-33.10915976045986
28.5,,-34.129977484425844
29.0,,-33.79838266247867
29.5,,-33.3584815918677
30.0,,-34.397676121129244
30.5,,-33.33007728712377
31.0,,-33.23435416941422
31.5,,-32.73180547459577
32.0,,-30.414723886679933
32.5,,-33.45934982745574
33.0,,-34.11230141739792
33.5,,-34.81832556391348
34.0,,-35.56700032457922
34.5,,-35.30517764876966
35.0,,-35.004650056653155
35.5,,-34.90335411096789
36.0,,-34.81224415013064
36.5,,-35.32205193717421
37.0,,-34.65805377864699
37.5,,-34.377589815249785
38.0,,-35.536759339670475
38.5,,-35.77760735273292
39.0,,-35.17631960753566
39.5,,-35.25668574962339
40.0,,-35.876179495167996
40.5,,-36.04656925397496
41.0,,-36.33526885086397
41.5,,-36.238307593999295
42.0,,-36.05121115278229
42.5,,-36.12410876810463
43.0,,-36.6593041115597
43.5,,-36.577871911104324
44.0,,-36.541585400619404
44.5,,-35.67332707856591
45.0,,-36.34207542235005
45.5,,-36.33005217024972
46.0,,-36.21729016334745
46.5,,-36.39792372959721
47.0,,-36.6018400457757
47.5,,-36.34579953261838
48.0,,-36.12442113320442
48.5,,-36.06790413538827
49.0,,-36.305743719189714
49.5,,-36.4756736431332
50.0,,-36.098324617215056
50.5,,-36.08493120416703
51.0,,-34.406502973124276
51.5,,-35.28274577854702
52.0,,-35.800303034632606
52.5,,-35.35082033342865
53.0,,-36.356146121302686
53.5,,-36.69003191299034
54.0,,-36.39837468714017
54.5,,-36.304811558420134
55.0,,-36.326278259005896
55.5,,-36.4962670488431
56.0,,-36.00170668852493
56.5,,-35.69621641769058
57.0,,-35.83968934228961
57.5,,-35.584721918270894
58.0,,-35.00450635370692
58.5,,-34.68704273747653
59.0,,-35.62565384822738
59.5,,-35.05110461698046
60.0,,-34.29794356972968
