timestamp,rssi,rf power
0.5,,0
1.0,,-37.22713025620396
1.5,,-37.175349121222304
2.0,,-36.68665640506716
2.5,,-36.3912930385128
3.0,,-36.081209995582654
3.5,,-34.49281372694577
4.0,,-34.7261329498256
4.5,,-35.80964847770053
5.0,,-35.62864083681828
5.5,,-36.32781195245645
6.0,,-36.099719634920966
6.5,,-34.967711121437
7.0,,-36.02992082719408
7.5,,-36.23286621350455
8.0,,-36.45268012560596
8.5,,-36.68829898106744
9.0,,-37.516548391542266
9.5,,-38.10584630689729
10.0,,-37.50320724284865
10.5,,-38.592796177564786
11.0,,-38.28448379335033
11.5,,-37.63647675481526
12.0,,-37.20792855260871
12.5,,-37.660796576402014
13.0,,-36.76325324829116
13.5,,-36.977928793947065
14.0,,-36.43059748660614
14.5,,-37.19825884640106
15.0,,-37.19268565166275
15.5,,-38.4620077544381
16.0,,-37.85828348620154
16.5,,-38.8757203158417
17.0,,-38.19576293770258
17.5,,-37.99609490919556
18.0,,-37.94345523186118
18.5,,-37.197882392805916
19.0,,-36.641630221982545
19.5,,-36.49538843377075
20.0,,-36.262250869507106
20.5,,-37.069335106357194
21.0,,-35.79240814365299
21.5,,-35.71764901780272
22.0,,-36.85061119099921
22.5,,-36.23800507058641
23.0,,-35.61614584600965
23.5,,-36.928787298481204
24.0,,-37.39659860816851
24.5,,-37.19347021871455
25.0,,-37.47802767873878
25.5,,-37.44488293999475
26.0,,-37.09197796867601
26.5,,-35.918858806362216
27.0,,-36.28348370301248
27.5,,-37.146563939622986
28.0,,-36.67221579227958
28.5,,-36.77433963137014
29.0,,-37.15776156810777
29.5,,-37.46108064224556
30.0,,-36.5436978723293
30.5,,-36.416979112492804
31.0,,-36.33086585972346
31.5,,-35.60231645603972
32.0,,-35.70575894103423
32.5,,-35.99896534077755
33.0,,-35.621154670798774
33.5,,-34.77159573232296
34.0,,-33.821807250334565
34.5,,-35.44166249350892
35.0,,-35.597115809982114
35.5,,-36.546160550957374
36.0,,-35.950648935118046
36.5,,-36.307785502937605
37.0,,-36.43254856623477
37.5,,-35.80865382971936
38.0,,-36.320780312667964
38.5,,-36.1171546365378
39.0,,-35.113752480648635
39.5,,-35.51797996751997
40.0,,-35.77208063220951
40.5,,-35.67932404323847
41.0,,-33.9893045520096
41.5,,-35.87766666062386
42.0,,-36.35675322591461
42.5,,-36.53571424859437
43.0,,-36.28801843181154
43.5,,-35.85504892990297
44.0,,-36.65507838324914
44.5,,-36.97760508634672
45.0,,-36.88009683374125
45.5,,-36.72964334512537
46.0,,-37.03393656977767
46.5,,-34.78226774275059
47.0,,-36.20591269161035
47.5,,-37.3227404407243
48.0,,-37.154133082948924
48.5,,-36.56711931052087
49.0,,-37.929043087145914
49.5,,-37.96873115968507
50.0,,-38.34669123443889
50.5,,-38.529174316949266
51.0,,-38.177356126153
51.5,,-37.85075622583562
52.0,,-36.30782403403616
52.5,,-37.79921745337512
53.0,,-36.93863277018663
53.5,,-33.99820366144191
54.0,,-37.7001867950565
54.5,,-38.10782801103769
55.0,,-37.50139169761474
55.5,,-37.81679094512218
56.0,,-38.01232031303823
56.5,,-38.395486037813185
57.0,,-37.38164457414897
57.5,,-37.9075009519667
58.0,,-37.05468132067032
58.5,,-37.48284065501756
59.0,,-37.73776230856855
59.5,,-37.274728260855746
60.0,,-36.1582754382633
